Id;Brand;Model;Generation;Version;Length;Width;Height;Wheel Base;Petrol min cap;Petrol max cap;Petrol min hp;Petrol max hp;Avg weight;Price
558;peugeot;408;none;none;468.7;184.8;147.8;278.7;1199;1199;131;136;1624.0;155274.59375
559;peugeot;508;ii;2018;475.0;185.9;140.3;279.3;1199;1598;130;225;1678.5;91447.21875
560;peugeot;807;none;none;472.7;185.4;175.2;282.3;1997;1997;140;140;1842.0;17593.09375
561;peugeot;1007;none;none;373.1;182.6;162.0;231.5;1361;1587;73;109;1191.5;8319.5625
562;peugeot;2008;ii;2008 ii (facelift 2023);430.4;177.0;152.3;260.5;1199;1199;101;131;1443.0;59030.59375
563;peugeot;3008;3008 2 - 2021 facelift (2021 - present);30 082 021;444.7;184.1;162.4;267.5;1199;1598;130;180;1661.0;61632.375
564;peugeot;3008;3008 2 (2016 - present);3008 ii;444.7;184.4;162.4;267.5;1199;1598;130;225;1621.5;89738.625
565;peugeot;5008;ii;2017;464.1;184.4;164.6;284.0;1199;1598;130;180;1507.0;94754.03125
566;peugeot;206-cc;none;none;383.5;167.3;137.3;244.2;1587;1997;109;136;1175.0;7808.233333333334
567;peugeot;206-plus;none;none;387.2;166.9;144.4;244.3;1124;1361;60;75;1030.0;10985.3125
568;peugeot;207-cc;207 (2006 - 2012);207;403.0;172.0;147.2;254.0;1361;1598;73;156;1297.0;15645.125
569;peugeot;207-cc;207+ (2012 - 2014);207+;404.5;174.8;147.2;254.0;1361;1361;73;73;1230.0;15645.125
570;peugeot;boxer;boxer 3rd gen. (x250) - 2007 new model (2006 - 2014);boxer (x250) l2h2;541.3;205.0;252.2;345.0;0;0;0;0;2079.0;53579.5
571;peugeot;boxer;boxer 3rd gen. (x290) - 2015 update (2014 - present);boxer (x290) l4h2;636.3;205.0;252.2;403.5;0;0;0;0;2504.0;53579.5
572;peugeot;boxer;boxer 3rd gen. (x290) - 2015 update (2014 - present);boxer (x290) l3h3;599.8;205.0;276.0;403.5;0;0;0;0;2572.5;53579.5
573;peugeot;boxer;boxer 3rd gen. (x290) - 2015 update (2014 - present);boxer (x290) l3h2;599.8;205.0;252.2;403.5;0;0;0;0;2425.0;53579.5
574;peugeot;boxer;boxer 3rd gen. (x290) - 2015 update (2014 - present);boxer (x290) l2h2;541.3;205.0;225.4;345.0;0;0;0;0;2535.0;53579.5
575;peugeot;boxer;boxer 3rd gen. (x290) - 2015 update (2014 - present);boxer (x290) l2h1;541.3;205.0;225.4;345.0;0;0;0;0;2235.0;53579.5
576;peugeot;boxer;boxer 3rd gen. (x290) - 2015 update (2014 - present);boxer (x290) l1h1;496.3;205.0;225.4;300.0;0;0;0;0;1984.0;53579.5
577;peugeot;expert;expert 2 (2007 - 2016);expert 2;480.5;189.5;194.2;300.0;0;0;0;0;1991.5;56270.59375
578;peugeot;expert;expert 3 (2016 - present);expert combi;495.6;192.0;189.5;327.5;0;0;0;0;1923.0;56270.59375
579;peugeot;expert;expert 3 (2016 - present);expert traveller;495.6;192.0;189.5;327.5;0;0;0;0;1998.5;109178.5625
580;peugeot;partner;i;partner 2;438.0;181.0;180.1;272.8;1587;1598;90;98;1485.0;26583.84375
581;peugeot;partner;i;partner 2 phase 3;438.4;181.0;180.1;272.8;1199;1598;98;120;1524.5;25346.0625
582;peugeot;partner;ii;partner 2 phase 3;438.4;181.0;180.1;272.8;1199;1598;98;120;1524.5;26583.84375
583;peugeot;partner;ii;partner 2;438.0;181.0;180.1;272.8;1587;1598;90;98;1485.0;25346.0625
584;peugeot;rifter;none;none;440.3;184.8;187.4;278.5;1199;1199;110;130;1687.0;71239.0
585;peugeot;traveller;none;none;495.6;192.0;189.5;327.5;0;0;0;0;1998.5;109178.5625
586;porsche;911;911 (911 series) (1963 - 1989);911 targa (911 series);429.0;165.0;132.0;227.0;3164;3299;218;301;1272.5;717360.8125
587;porsche;911;911 (911 series) (1963 - 1989);911 cabriolet (911 series);429.0;165.0;132.0;227.0;3164;3299;218;301;1272.5;717360.8125
588;porsche;911;911 (964 series) (1988 - 1994);911 coupe (964 series);425.0;165.0;131.0;227.0;3600;3600;250;360;1350.0;323827.1666666667
589;porsche;911;911 (964 series) (1988 - 1994);911 cabriolet (964 series);425.0;165.0;131.0;227.0;3600;3600;250;250;1400.0;323827.1666666667
590;porsche;911;911 (991.1 series) (2011 - 2015);911 targa (991 series);449.1;185.2;129.8;245.0;3436;3800;349;430;1635.0;717360.8125
591;porsche;911;911 (991.1 series) (2011 - 2015);911 cabriolet (991 series);449.1;180.8;129.9;245.0;3436;3800;349;430;1550.0;717360.8125
592;porsche;911;911 (991.1 series) (2011 - 2015);911 coupe (991 series);450.9;185.2;129.6;245.0;3436;3996;349;500;1467.5;454351.3125
593;porsche;911;911 (991.2 series) (2015 - 2019);911 targa (991.2 series);449.9;185.2;128.8;245.0;2981;2981;370;450;1662.5;717360.8125
594;porsche;911;911 (991.2 series) (2015 - 2019);911 coupe (991.2 series);449.9;180.8;129.4;245.0;2981;3996;370;700;1581.5;717360.8125
595;porsche;911;911 (992 series) (2019 - present);911 targa (992 series);451.9;185.2;129.7;245.0;2981;2981;385;480;1755.5;933246.03125
596;porsche;911;911 (992 series) (2019 - present);911 cabriolet (992 series);451.9;185.2;129.7;245.0;2981;3745;385;650;1722.0;933246.03125
597;porsche;911;911 (993 series) (1993 - 1998);911 cabriolet (993 series);424.0;174.0;130.0;227.0;3600;3600;272;285;1375.0;366312.22222222225
598;porsche;911;911 (996 series) (1997 - 2006);911 targa (996 series);443.0;177.0;130.0;235.0;3596;3596;320;320;1445.0;178705.875
599;porsche;911;911 (996 series) (1997 - 2006);911 cabriolet (996 series);443.0;176.5;130.5;235.0;3387;3600;300;450;1585.0;178705.875
600;porsche;911;911 (997 series) (2004 - 2012);911 targa (997);442.7;185.2;131.0;235.0;3596;3824;325;385;1617.5;277639.09375
601;porsche;911;911 (997 series) (2004 - 2012);911 cabriolet (997);442.7;180.8;131.0;235.0;3596;3824;325;530;1580.0;277639.09375
602;porsche;911;911 (997 series) (2004 - 2012);911 (997);442.7;180.8;131.0;235.0;3596;3996;325;620;1532.5;277639.09375
603;porsche;718-boxster;none;none;437.9;180.1;128.1;247.5;1988;3996;299;500;1445.5;389682.1875
604;porsche;718-cayman;none;none;437.9;180.1;129.5;247.5;1988;3995;299;500;1445.5;350834.0
605;porsche;boxster;718 boxster (type 982) (2016 - present);718 boxster;437.9;180.1;128.1;247.5;1988;3996;299;500;1445.5;389682.1875
606;porsche;boxster;boxster (type 981) (2012 - 2016);boxster (981);437.4;180.1;128.2;247.5;2706;3800;265;375;1417.5;111437.96875
607;porsche;boxster;boxster (type 986) (1996 - 2004);boxster (986);431.5;178.0;129.0;241.5;2480;3179;204;266;1342.5;111437.96875
608;porsche;macan;none;none;468.1;192.3;162.4;280.7;1984;3605;252;400;1827.5;227641.5625
609;renault;5;i;2005;350.6;152.5;141.0;241.9;845;1397;36;160;850.0;48939.8
610;renault;captur;captur 1 (2013 - 2019);captur 1 phase 2;412.2;177.8;155.6;260.6;898;1330;90;150;1297.5;59851.96875
611;renault;captur;captur 1 (2013 - 2019);captur 1 phase 1;412.2;177.8;156.6;260.6;898;1197;90;120;1239.0;59851.96875
612;renault;captur;captur 2 (2020 - present);captur 2;422.7;179.7;157.6;263.9;999;1598;91;154;1402.0;84987.875
613;renault;clio;clio 1 (1990 - 1999);clio 1 phase 3;371.0;162.0;140.0;247.0;1149;1783;60;110;903.0;12208.166666666666
614;renault;clio;clio 1 (1990 - 1999);clio 1 phase 2;370.9;162.5;139.5;247.2;1171;1998;54;150;902.5;12208.166666666666
615;renault;clio;clio 1 (1990 - 1999);clio 1 phase 1;370.9;161.6;140.0;247.0;1171;1998;60;150;898.5;12208.166666666666
616;renault;clio;clio 2 (1998 - 2012);clio 2 phase 2 3 doors;381.2;163.9;141.7;247.2;1149;2946;58;255;1140.0;7400.59375
617;renault;clio;clio 2 (1998 - 2012);clio 2 phase 1 5 doors;377.3;163.9;141.7;247.2;1149;1598;58;110;960.0;7400.59375
618;renault;clio;clio 2 (1998 - 2012);clio 2 phase 1 3 doors;377.3;163.9;141.7;247.2;1149;2946;58;230;1117.5;7400.59375
619;renault;clio;clio 2 (1998 - 2012);clio 2 campus/storia;381.2;163.9;141.7;247.2;1149;1149;58;75;1047.5;7400.59375
620;renault;clio;clio 3 (2005 - 2014);clio 3 phase 2 grand tour;422.8;170.7;151.3;257.5;1149;1149;75;101;1247.5;13371.78125
621;renault;clio;clio 3 (2005 - 2014);clio 3 phase 1 grand tour;420.2;170.7;149.7;257.5;1149;1598;75;111;1247.5;13371.78125
622;renault;clio;clio 3 (2005 - 2014);clio 3 phase 1 5doors;398.6;170.7;149.6;257.5;1149;1997;75;138;1225.0;13371.78125
623;renault;clio;clio 4 (2012 - 2019);clio 4;406.2;173.2;144.8;258.9;898;1618;73;220;1167.0;34627.75
624;renault;clio;clio 4 (2012 - 2019);clio 4 ph2 sport tourer;426.7;173.2;147.5;258.9;898;1197;73;118;1149.0;31219.84375
625;renault;clio;clio 5 (2019 - present);clio 5 phase 2;405.3;179.8;144.0;258.3;999;1598;67;143;1227.5;63421.8125
626;renault;coupe;none;none;420.9;177.7;145.7;262.5;1390;1998;98;225;1325.0;23643.71875
627;renault;espace;2 (1991 - 1997);espace 2;443.0;180.0;169.0;258.0;1995;2849;105;152;1427.0;73982.125
628;renault;espace;3 (1996 - 2002);grand espace 1;479.0;181.0;169.0;287.0;1998;2946;115;194;1600.0;9325.0
629;renault;espace;3 (1996 - 2002);espace 3;451.7;181.0;169.0;270.2;1998;2963;115;194;1560.0;9325.0
630;renault;espace;4 (2002 - 2014);grand espace 2 phase 1;486.1;186.0;174.6;286.8;1998;3498;165;245;1875.0;17536.53125
